ItemID,Category,Sub Category,Commodity,Item,Commodity Detail
204148,Other,Other,Other,Other-204148,Other
204172,Other,Other,Other,Other-204172,Other
204216,Other,Other,Other,Other-204216,Other
204224,Other,Other,Other,Other-204224,Other
204944,Other,Other,Other,Other-204944,Other
205573,Other,Other,Other,Other-205573,Other
204269,Other,Other,Other,Other-204269,Other
204141,Other,Other,Other,Other-204141,Other
205509,Other,Other,Other,Other-205509,Other
204062,Other,Other,Other,Other-204062,Other
204630,Other,Other,Other,Other-204630,Other
205866,Other,Other,Other,Other-205866,Other
204595,Other,Other,Other,Other-204595,Other
204214,Other,Other,Other,Other-204214,Other
204950,Other,Other,Other,Other-204950,Other
204846,Other,Other,Other,Other-204846,Other
205205,Other,Other,Other,Other-205205,Other
205302,Other,Other,Other,Other-205302,Other
206233,Other,Other,Other,Other-206233,Other
204121,Other,Other,Other,Other-204121,Other
204187,Other,Other,Other,Other-204187,Other
205800,Other,Other,Other,Other-205800,Other
204354,Other,Other,Other,Other-204354,Other
204775,Other,Other,Other,Other-204775,Other
205163,Other,Other,Other,Other-205163,Other
204252,Other,Other,Other,Other-204252,Other
204722,Other,Other,Other,Other-204722,Other
204939,Other,Other,Other,Other-204939,Other
204131,Other,Other,Other,Other-204131,Other
204577,Other,Other,Other,Other-204577,Other
205025,Other,Other,Other,Other-205025,Other
204334,Other,Other,Other,Other-204334,Other
204137,Other,Other,Other,Other-204137,Other
204277,Other,Other,Other,Other-204277,Other
206280,Other,Other,Other,Other-206280,Other
204828,Other,Other,Other,Other-204828,Other
205782,Other,Other,Other,Other-205782,Other
205783,Other,Other,Other,Other-205783,Other
205492,Other,Other,Other,Other-205492,Other
205391,Other,Other,Other,Other-205391,Other
205954,Other,Other,Other,Other-205954,Other
205505,Other,Other,Other,Other-205505,Other
205503,Other,Other,Other,Other-205503,Other
205504,Other,Other,Other,Other-205504,Other
204146,Other,Other,Other,Other-204146,Other
205284,Other,Other,Other,Other-205284,Other
206553,Other,Other,Other,Other-206553,Other
205965,Other,Other,Other,Other-205965,Other
205312,Other,Other,Other,Other-205312,Other
205444,Other,Other,Other,Other-205444,Other
205182,Other,Other,Other,Other-205182,Other
205084,Other,Other,Other,Other-205084,Other
205384,Other,Other,Other,Other-205384,Other
205298,Other,Other,Other,Other-205298,Other
206234,Other,Other,Other,Other-206234,Other
206558,Other,Other,Other,Other-206558,Other
205299,Other,Other,Other,Other-205299,Other
204205,Other,Other,Other,Other-204205,Other
205293,Other,Other,Other,Other-205293,Other
205112,Other,Other,Other,Other-205112,Other
205102,Other,Other,Other,Other-205102,Other
205207,Other,Other,Other,Other-205207,Other
205213,Other,Other,Other,Other-205213,Other
204522,Other,Other,Other,Other-204522,Other
204926,Other,Other,Other,Other-204926,Other
204930,Other,Other,Other,Other-204930,Other
204165,Other,Other,Other,Other-204165,Other
205290,Other,Other,Other,Other-205290,Other
205074,Other,Other,Other,Other-205074,Other
204272,Other,Other,Other,Other-204272,Other
204210,Other,Other,Other,Other-204210,Other
205537,Other,Other,Other,Other-205537,Other
204140,Other,Other,Other,Other-204140,Other
204234,Other,Other,Other,Other-204234,Other
206601,Other,Other,Other,Other-206601,Other
206593,Other,Other,Other,Other-206593,Other
206594,Other,Other,Other,Other-206594,Other
206597,Other,Other,Other,Other-206597,Other
206598,Other,Other,Other,Other-206598,Other
206599,Other,Other,Other,Other-206599,Other
206600,Other,Other,Other,Other-206600,Other
206623,Other,Other,Other,Other-206623,Other
206595,Other,Other,Other,Other-206595,Other
206624,Other,Other,Other,Other-206624,Other
206627,Other,Other,Other,Other-206627,Other
206629,Other,Other,Other,Other-206629,Other
206603,Other,Other,Other,Other-206603,Other
206630,Other,Other,Other,Other-206630,Other
205746,Other,Other,Other,Other-205746,Other
204155,Other,Other,Other,Other-204155,Other
204740,Other,Other,Other,Other-204740,Other
205248,Other,Other,Other,Other-205248,Other
204327,Other,Other,Other,Other-204327,Other
204744,Other,Other,Other,Other-204744,Other
205249,Other,Other,Other,Other-205249,Other
206025,Other,Other,Other,Other-206025,Other
206332,Other,Other,Other,Other-206332,Other
204298,Other,Other,Other,Other-204298,Other
204282,Other,Other,Other,Other-204282,Other
204732,Other,Other,Other,Other-204732,Other
204794,Other,Other,Other,Other-204794,Other
204159,Other,Other,Other,Other-204159,Other
204747,Other,Other,Other,Other-204747,Other
204326,Other,Other,Other,Other-204326,Other
204106,Other,Other,Other,Other-204106,Other
204705,Other,Other,Other,Other-204705,Other
204083,Other,Other,Other,Other-204083,Other
204117,Other,Other,Other,Other-204117,Other
206244,Other,Other,Other,Other-206244,Other
204558,Other,Other,Other,Other-204558,Other
204133,Other,Other,Other,Other-204133,Other
204653,Other,Other,Other,Other-204653,Other
204708,Other,Other,Other,Other-204708,Other
204709,Other,Other,Other,Other-204709,Other
204710,Other,Other,Other,Other-204710,Other
204711,Other,Other,Other,Other-204711,Other
204712,Other,Other,Other,Other-204712,Other
204714,Other,Other,Other,Other-204714,Other
205142,Other,Other,Other,Other-205142,Other
205457,Other,Other,Other,Other-205457,Other
205187,Other,Other,Other,Other-205187,Other
204278,Other,Other,Other,Other-204278,Other
205528,Other,Other,Other,Other-205528,Other
205613,Other,Other,Other,Other-205613,Other
206307,Other,Other,Other,Other-206307,Other
204716,Other,Other,Other,Other-204716,Other
204625,Other,Other,Other,Other-204625,Other
204105,Other,Other,Other,Other-204105,Other
205189,Other,Other,Other,Other-205189,Other
204997,Other,Other,Other,Other-204997,Other
205170,Other,Other,Other,Other-205170,Other
204206,Other,Other,Other,Other-204206,Other
204693,Other,Other,Other,Other-204693,Other
204164,Other,Other,Other,Other-204164,Other
205206,Other,Other,Other,Other-205206,Other
205294,Other,Other,Other,Other-205294,Other
205992,Other,Other,Other,Other-205992,Other
205495,Other,Other,Other,Other-205495,Other
205390,Other,Other,Other,Other-205390,Other
205494,Other,Other,Other,Other-205494,Other
205621,Other,Other,Other,Other-205621,Other
205196,Other,Other,Other,Other-205196,Other
204195,Other,Other,Other,Other-204195,Other
204193,Other,Other,Other,Other-204193,Other
204194,Other,Other,Other,Other-204194,Other
205056,Other,Other,Other,Other-205056,Other
204196,Other,Other,Other,Other-204196,Other
204197,Other,Other,Other,Other-204197,Other
204198,Other,Other,Other,Other-204198,Other
204199,Other,Other,Other,Other-204199,Other
204200,Other,Other,Other,Other-204200,Other
204190,Other,Other,Other,Other-204190,Other
204191,Other,Other,Other,Other-204191,Other
204245,Other,Other,Other,Other-204245,Other
205121,Other,Other,Other,Other-205121,Other
204273,Other,Other,Other,Other-204273,Other
206030,Other,Other,Other,Other-206030,Other
206032,Other,Other,Other,Other-206032,Other
206038,Other,Other,Other,Other-206038,Other
204965,Other,Other,Other,Other-204965,Other
204322,Other,Other,Other,Other-204322,Other
204701,Other,Other,Other,Other-204701,Other
204690,Other,Other,Other,Other-204690,Other
204667,Other,Other,Other,Other-204667,Other
205218,Other,Other,Other,Other-205218,Other
205209,Other,Other,Other,Other-205209,Other
204343,Other,Other,Other,Other-204343,Other
205848,Other,Other,Other,Other-205848,Other
204832,Other,Other,Other,Other-204832,Other
206001,Other,Other,Other,Other-206001,Other
206004,Other,Other,Other,Other-206004,Other
206007,Other,Other,Other,Other-206007,Other
206010,Other,Other,Other,Other-206010,Other
205747,Other,Other,Other,Other-205747,Other
205554,Other,Other,Other,Other-205554,Other
205828,Other,Other,Other,Other-205828,Other
204192,Other,Other,Other,Other-204192,Other
204144,Other,Other,Other,Other-204144,Other
204599,Other,Other,Other,Other-204599,Other
204139,Other,Other,Other,Other-204139,Other
204353,Other,Other,Other,Other-204353,Other
204355,Other,Other,Other,Other-204355,Other
204385,Other,Other,Other,Other-204385,Other
204836,Other,Other,Other,Other-204836,Other
204386,Other,Other,Other,Other-204386,Other
204388,Other,Other,Other,Other-204388,Other
204352,Other,Other,Other,Other-204352,Other
204837,Other,Other,Other,Other-204837,Other
204838,Other,Other,Other,Other-204838,Other
204143,Other,Other,Other,Other-204143,Other
205447,Other,Other,Other,Other-205447,Other
205510,Other,Other,Other,Other-205510,Other
205099,Other,Other,Other,Other-205099,Other
205091,Other,Other,Other,Other-205091,Other
205474,Other,Other,Other,Other-205474,Other
204523,Other,Other,Other,Other-204523,Other
205426,Other,Other,Other,Other-205426,Other
204347,Other,Other,Other,Other-204347,Other
204237,Other,Other,Other,Other-204237,Other
204209,Other,Other,Other,Other-204209,Other
204059,Other,Other,Other,Other-204059,Other
206574,Other,Other,Other,Other-206574,Other
204990,Other,Other,Other,Other-204990,Other
204090,Other,Other,Other,Other-204090,Other
204142,Other,Other,Other,Other-204142,Other
204156,Other,Other,Other,Other-204156,Other
204202,Other,Other,Other,Other-204202,Other
204168,Other,Other,Other,Other-204168,Other
204112,Other,Other,Other,Other-204112,Other
205381,Other,Other,Other,Other-205381,Other
204654,Other,Other,Other,Other-204654,Other
205032,Other,Other,Other,Other-205032,Other
205625,Other,Other,Other,Other-205625,Other
204280,Other,Other,Other,Other-204280,Other
204150,Other,Other,Other,Other-204150,Other
204268,Other,Other,Other,Other-204268,Other
204344,Other,Other,Other,Other-204344,Other
204294,Other,Other,Other,Other-204294,Other
205816,Other,Other,Other,Other-205816,Other
204058,Other,Other,Other,Other-204058,Other
206093,Other,Other,Other,Other-206093,Other
206212,Other,Other,Other,Other-206212,Other
206210,Other,Other,Other,Other-206210,Other
204295,Other,Other,Other,Other-204295,Other
205885,Other,Other,Other,Other-205885,Other
204215,Other,Other,Other,Other-204215,Other
204311,Other,Other,Other,Other-204311,Other
204091,Other,Other,Other,Other-204091,Other
204317,Other,Other,Other,Other-204317,Other
205393,Other,Other,Other,Other-205393,Other
205045,Other,Other,Other,Other-205045,Other
204161,Other,Other,Other,Other-204161,Other
205071,Other,Other,Other,Other-205071,Other
204236,Other,Other,Other,Other-204236,Other
205419,Other,Other,Other,Other-205419,Other
205212,Other,Other,Other,Other-205212,Other
205093,Other,Other,Other,Other-205093,Other
205415,Other,Other,Other,Other-205415,Other
205086,Other,Other,Other,Other-205086,Other
205355,Other,Other,Other,Other-205355,Other
205313,Other,Other,Other,Other-205313,Other
205054,Other,Other,Other,Other-205054,Other
204626,Other,Other,Other,Other-204626,Other
204218,Other,Other,Other,Other-204218,Other
206136,Other,Other,Other,Other-206136,Other
204351,Other,Other,Other,Other-204351,Other
206337,Other,Other,Other,Other-206337,Other
205114,Other,Other,Other,Other-205114,Other
205106,Other,Other,Other,Other-205106,Other
205610,Other,Other,Other,Other-205610,Other
205853,Other,Other,Other,Other-205853,Other
205916,Other,Other,Other,Other-205916,Other
206338,Other,Other,Other,Other-206338,Other
205145,Other,Other,Other,Other-205145,Other
205146,Other,Other,Other,Other-205146,Other
205199,Other,Other,Other,Other-205199,Other
205110,Other,Other,Other,Other-205110,Other
205116,Other,Other,Other,Other-205116,Other
205117,Other,Other,Other,Other-205117,Other
204240,Other,Other,Other,Other-204240,Other
204683,Other,Other,Other,Other-204683,Other
204127,Other,Other,Other,Other-204127,Other
205886,Other,Other,Other,Other-205886,Other
205175,Other,Other,Other,Other-205175,Other
205452,Other,Other,Other,Other-205452,Other
205467,Other,Other,Other,Other-205467,Other
206284,Other,Other,Other,Other-206284,Other
206375,Other,Other,Other,Other-206375,Other
204402,Other,Other,Other,Other-204402,Other
204754,Other,Other,Other,Other-204754,Other
205530,Other,Other,Other,Other-205530,Other
204174,Other,Other,Other,Other-204174,Other
204989,Other,Other,Other,Other-204989,Other
206188,Other,Other,Other,Other-206188,Other
205076,Other,Other,Other,Other-205076,Other
204305,Other,Other,Other,Other-204305,Other
206454,Other,Other,Other,Other-206454,Other
204213,Other,Other,Other,Other-204213,Other
204244,Other,Other,Other,Other-204244,Other
204246,Other,Other,Other,Other-204246,Other
204256,Other,Other,Other,Other-204256,Other
206043,Other,Other,Other,Other-206043,Other
204283,Other,Other,Other,Other-204283,Other
205493,Other,Other,Other,Other-205493,Other
204097,Other,Other,Other,Other-204097,Other
204219,Other,Other,Other,Other-204219,Other
204145,Other,Other,Other,Other-204145,Other
205578,Other,Other,Other,Other-205578,Other
205543,Other,Other,Other,Other-205543,Other
204680,Other,Other,Other,Other-204680,Other
205710,Other,Other,Other,Other-205710,Other
204408,Other,Other,Other,Other-204408,Other
206665,Other,Other,Other,Other-206665,Other
204184,Other,Other,Other,Other-204184,Other
205695,Other,Other,Other,Other-205695,Other
205947,Other,Other,Other,Other-205947,Other
204987,Other,Other,Other,Other-204987,Other
205757,Other,Other,Other,Other-205757,Other
205857,Other,Other,Other,Other-205857,Other
204104,Other,Other,Other,Other-204104,Other
204651,Other,Other,Other,Other-204651,Other
204085,Other,Other,Other,Other-204085,Other
205066,Other,Other,Other,Other-205066,Other
204114,Other,Other,Other,Other-204114,Other
205191,Other,Other,Other,Other-205191,Other
204403,Other,Other,Other,Other-204403,Other
205360,Other,Other,Other,Other-205360,Other
204923,Other,Other,Other,Other-204923,Other
206137,Other,Other,Other,Other-206137,Other
205126,Other,Other,Other,Other-205126,Other
204329,Other,Other,Other,Other-204329,Other
205070,Other,Other,Other,Other-205070,Other
205545,Other,Other,Other,Other-205545,Other
206290,Other,Other,Other,Other-206290,Other
205966,Other,Other,Other,Other-205966,Other
204784,Other,Other,Other,Other-204784,Other
205781,Other,Other,Other,Other-205781,Other
204181,Other,Other,Other,Other-204181,Other
204956,Other,Other,Other,Other-204956,Other
205065,Other,Other,Other,Other-205065,Other
205024,Other,Other,Other,Other-205024,Other
204538,Other,Other,Other,Other-204538,Other
205088,Other,Other,Other,Other-205088,Other
206655,Other,Other,Other,Other-206655,Other
205463,Other,Other,Other,Other-205463,Other
204422,Other,Other,Other,Other-204422,Other
204345,Other,Other,Other,Other-204345,Other
204177,Other,Other,Other,Other-204177,Other
205176,Other,Other,Other,Other-205176,Other
206297,Other,Other,Other,Other-206297,Other
204341,Other,Other,Other,Other-204341,Other
205791,Other,Other,Other,Other-205791,Other
206431,Other,Other,Other,Other-206431,Other
204149,Other,Other,Other,Other-204149,Other
204429,Other,Other,Other,Other-204429,Other
206456,Other,Other,Other,Other-206456,Other
204427,Other,Other,Other,Other-204427,Other
204430,Other,Other,Other,Other-204430,Other
206457,Other,Other,Other,Other-206457,Other
204624,Other,Other,Other,Other-204624,Other
206458,Other,Other,Other,Other-206458,Other
204431,Other,Other,Other,Other-204431,Other
206459,Other,Other,Other,Other-206459,Other
206460,Other,Other,Other,Other-206460,Other
204435,Other,Other,Other,Other-204435,Other
204436,Other,Other,Other,Other-204436,Other
204437,Other,Other,Other,Other-204437,Other
205628,Other,Other,Other,Other-205628,Other
204439,Other,Other,Other,Other-204439,Other
204627,Other,Other,Other,Other-204627,Other
204441,Other,Other,Other,Other-204441,Other
206461,Other,Other,Other,Other-206461,Other
204904,Other,Other,Other,Other-204904,Other
204443,Other,Other,Other,Other-204443,Other
206462,Other,Other,Other,Other-206462,Other
206463,Other,Other,Other,Other-206463,Other
205633,Other,Other,Other,Other-205633,Other
205634,Other,Other,Other,Other-205634,Other
206464,Other,Other,Other,Other-206464,Other
205635,Other,Other,Other,Other-205635,Other
204447,Other,Other,Other,Other-204447,Other
204448,Other,Other,Other,Other-204448,Other
205639,Other,Other,Other,Other-205639,Other
204450,Other,Other,Other,Other-204450,Other
204452,Other,Other,Other,Other-204452,Other
206465,Other,Other,Other,Other-206465,Other
205644,Other,Other,Other,Other-205644,Other
204633,Other,Other,Other,Other-204633,Other
206466,Other,Other,Other,Other-206466,Other
206467,Other,Other,Other,Other-206467,Other
205433,Other,Other,Other,Other-205433,Other
204453,Other,Other,Other,Other-204453,Other
204454,Other,Other,Other,Other-204454,Other
205648,Other,Other,Other,Other-205648,Other
204456,Other,Other,Other,Other-204456,Other
204459,Other,Other,Other,Other-204459,Other
204637,Other,Other,Other,Other-204637,Other
204634,Other,Other,Other,Other-204634,Other
204458,Other,Other,Other,Other-204458,Other
204619,Other,Other,Other,Other-204619,Other
206468,Other,Other,Other,Other-206468,Other
204460,Other,Other,Other,Other-204460,Other
206469,Other,Other,Other,Other-206469,Other
206470,Other,Other,Other,Other-206470,Other
204462,Other,Other,Other,Other-204462,Other
206471,Other,Other,Other,Other-206471,Other
206472,Other,Other,Other,Other-206472,Other
205654,Other,Other,Other,Other-205654,Other
206473,Other,Other,Other,Other-206473,Other
206404,Other,Other,Other,Other-206404,Other
205656,Other,Other,Other,Other-205656,Other
205657,Other,Other,Other,Other-205657,Other
204468,Other,Other,Other,Other-204468,Other
206474,Other,Other,Other,Other-206474,Other
206475,Other,Other,Other,Other-206475,Other
205724,Other,Other,Other,Other-205724,Other
206476,Other,Other,Other,Other-206476,Other
204638,Other,Other,Other,Other-204638,Other
205659,Other,Other,Other,Other-205659,Other
204470,Other,Other,Other,Other-204470,Other
204471,Other,Other,Other,Other-204471,Other
205661,Other,Other,Other,Other-205661,Other
204472,Other,Other,Other,Other-204472,Other
204474,Other,Other,Other,Other-204474,Other
206477,Other,Other,Other,Other-206477,Other
204476,Other,Other,Other,Other-204476,Other
205512,Other,Other,Other,Other-205512,Other
205663,Other,Other,Other,Other-205663,Other
204477,Other,Other,Other,Other-204477,Other
206478,Other,Other,Other,Other-206478,Other
204640,Other,Other,Other,Other-204640,Other
205043,Other,Other,Other,Other-205043,Other
205465,Other,Other,Other,Other-205465,Other
205667,Other,Other,Other,Other-205667,Other
205668,Other,Other,Other,Other-205668,Other
204480,Other,Other,Other,Other-204480,Other
205728,Other,Other,Other,Other-205728,Other
204482,Other,Other,Other,Other-204482,Other
205669,Other,Other,Other,Other-205669,Other
206479,Other,Other,Other,Other-206479,Other
204485,Other,Other,Other,Other-204485,Other
205671,Other,Other,Other,Other-205671,Other
204487,Other,Other,Other,Other-204487,Other
205673,Other,Other,Other,Other-205673,Other
204488,Other,Other,Other,Other-204488,Other
204489,Other,Other,Other,Other-204489,Other
204490,Other,Other,Other,Other-204490,Other
205674,Other,Other,Other,Other-205674,Other
204491,Other,Other,Other,Other-204491,Other
204492,Other,Other,Other,Other-204492,Other
205675,Other,Other,Other,Other-205675,Other
205694,Other,Other,Other,Other-205694,Other
205676,Other,Other,Other,Other-205676,Other
204494,Other,Other,Other,Other-204494,Other
206480,Other,Other,Other,Other-206480,Other
206481,Other,Other,Other,Other-206481,Other
206482,Other,Other,Other,Other-206482,Other
206483,Other,Other,Other,Other-206483,Other
204495,Other,Other,Other,Other-204495,Other
204644,Other,Other,Other,Other-204644,Other
204496,Other,Other,Other,Other-204496,Other
205677,Other,Other,Other,Other-205677,Other
204498,Other,Other,Other,Other-204498,Other
206484,Other,Other,Other,Other-206484,Other
204500,Other,Other,Other,Other-204500,Other
204501,Other,Other,Other,Other-204501,Other
206485,Other,Other,Other,Other-206485,Other
206486,Other,Other,Other,Other-206486,Other
204502,Other,Other,Other,Other-204502,Other
206340,Other,Other,Other,Other-206340,Other
205679,Other,Other,Other,Other-205679,Other
204507,Other,Other,Other,Other-204507,Other
204508,Other,Other,Other,Other-204508,Other
204511,Other,Other,Other,Other-204511,Other
204512,Other,Other,Other,Other-204512,Other
204514,Other,Other,Other,Other-204514,Other
204515,Other,Other,Other,Other-204515,Other
206487,Other,Other,Other,Other-206487,Other
206488,Other,Other,Other,Other-206488,Other
206489,Other,Other,Other,Other-206489,Other
206490,Other,Other,Other,Other-206490,Other
205681,Other,Other,Other,Other-205681,Other
205684,Other,Other,Other,Other-205684,Other
204645,Other,Other,Other,Other-204645,Other
206491,Other,Other,Other,Other-206491,Other
205726,Other,Other,Other,Other-205726,Other
204525,Other,Other,Other,Other-204525,Other
204524,Other,Other,Other,Other-204524,Other
205691,Other,Other,Other,Other-205691,Other
206492,Other,Other,Other,Other-206492,Other
205434,Other,Other,Other,Other-205434,Other
205693,Other,Other,Other,Other-205693,Other
204529,Other,Other,Other,Other-204529,Other
206494,Other,Other,Other,Other-206494,Other
205662,Other,Other,Other,Other-205662,Other
206497,Other,Other,Other,Other-206497,Other
206499,Other,Other,Other,Other-206499,Other
204552,Other,Other,Other,Other-204552,Other
204607,Other,Other,Other,Other-204607,Other
204392,Other,Other,Other,Other-204392,Other
204557,Other,Other,Other,Other-204557,Other
204612,Other,Other,Other,Other-204612,Other
204400,Other,Other,Other,Other-204400,Other
204814,Other,Other,Other,Other-204814,Other
206527,Other,Other,Other,Other-206527,Other
206528,Other,Other,Other,Other-206528,Other
206398,Other,Other,Other,Other-206398,Other
204263,Other,Other,Other,Other-204263,Other
206533,Other,Other,Other,Other-206533,Other
206582,Other,Other,Other,Other-206582,Other
206583,Other,Other,Other,Other-206583,Other
206584,Other,Other,Other,Other-206584,Other
206585,Other,Other,Other,Other-206585,Other
206587,Other,Other,Other,Other-206587,Other
206592,Other,Other,Other,Other-206592,Other
206382,Other,Other,Other,Other-206382,Other
204600,Other,Other,Other,Other-204600,Other
204618,Other,Other,Other,Other-204618,Other
204602,Other,Other,Other,Other-204602,Other
205026,Other,Other,Other,Other-205026,Other
206147,Other,Other,Other,Other-206147,Other
205887,Other,Other,Other,Other-205887,Other
205424,Other,Other,Other,Other-205424,Other
204934,Other,Other,Other,Other-204934,Other
205180,Other,Other,Other,Other-205180,Other
205083,Other,Other,Other,Other-205083,Other
204510,Other,Other,Other,Other-204510,Other
205532,Other,Other,Other,Other-205532,Other
205534,Other,Other,Other,Other-205534,Other
206082,Other,Other,Other,Other-206082,Other
204684,Other,Other,Other,Other-204684,Other
206285,Other,Other,Other,Other-206285,Other
204095,Other,Other,Other,Other-204095,Other
204743,Other,Other,Other,Other-204743,Other
204079,Other,Other,Other,Other-204079,Other
204695,Other,Other,Other,Other-204695,Other
204336,Other,Other,Other,Other-204336,Other
204824,Other,Other,Other,Other-204824,Other
205161,Other,Other,Other,Other-205161,Other
204805,Other,Other,Other,Other-204805,Other
205546,Other,Other,Other,Other-205546,Other
205446,Other,Other,Other,Other-205446,Other
204390,Other,Other,Other,Other-204390,Other
206327,Other,Other,Other,Other-206327,Other
206589,Other,Other,Other,Other-206589,Other
205101,Other,Other,Other,Other-205101,Other
205109,Other,Other,Other,Other-205109,Other
205211,Other,Other,Other,Other-205211,Other
205104,Other,Other,Other,Other-205104,Other
204331,Other,Other,Other,Other-204331,Other
205798,Other,Other,Other,Other-205798,Other
205236,Other,Other,Other,Other-205236,Other
206269,Other,Other,Other,Other-206269,Other
204697,Other,Other,Other,Other-204697,Other
204223,Other,Other,Other,Other-204223,Other
204937,Other,Other,Other,Other-204937,Other
206166,Other,Other,Other,Other-206166,Other
204312,Other,Other,Other,Other-204312,Other
205522,Other,Other,Other,Other-205522,Other
204129,Other,Other,Other,Other-204129,Other
205292,Other,Other,Other,Other-205292,Other
205548,Other,Other,Other,Other-205548,Other
204188,Other,Other,Other,Other-204188,Other
204089,Other,Other,Other,Other-204089,Other
205231,Other,Other,Other,Other-205231,Other
205270,Other,Other,Other,Other-205270,Other
206027,Other,Other,Other,Other-206027,Other
204799,Other,Other,Other,Other-204799,Other
205906,Other,Other,Other,Other-205906,Other
205897,Other,Other,Other,Other-205897,Other
205353,Other,Other,Other,Other-205353,Other
205414,Other,Other,Other,Other-205414,Other
205291,Other,Other,Other,Other-205291,Other
205950,Other,Other,Other,Other-205950,Other
205080,Other,Other,Other,Other-205080,Other
205073,Other,Other,Other,Other-205073,Other
204745,Other,Other,Other,Other-204745,Other
206039,Other,Other,Other,Other-206039,Other
205383,Other,Other,Other,Other-205383,Other
205451,Other,Other,Other,Other-205451,Other
205119,Other,Other,Other,Other-205119,Other
205974,Other,Other,Other,Other-205974,Other
205030,Other,Other,Other,Other-205030,Other
205090,Other,Other,Other,Other-205090,Other
204338,Other,Other,Other,Other-204338,Other
204830,Other,Other,Other,Other-204830,Other
205533,Other,Other,Other,Other-205533,Other
206005,Other,Other,Other,Other-206005,Other
205571,Other,Other,Other,Other-205571,Other
205222,Other,Other,Other,Other-205222,Other
204346,Other,Other,Other,Other-204346,Other
205952,Other,Other,Other,Other-205952,Other
205953,Other,Other,Other,Other-205953,Other
204154,Other,Other,Other,Other-204154,Other
205744,Other,Other,Other,Other-205744,Other
205982,Other,Other,Other,Other-205982,Other
205377,Other,Other,Other,Other-205377,Other
205975,Other,Other,Other,Other-205975,Other
205470,Other,Other,Other,Other-205470,Other
205994,Other,Other,Other,Other-205994,Other
205445,Other,Other,Other,Other-205445,Other
204182,Other,Other,Other,Other-204182,Other
204943,Other,Other,Other,Other-204943,Other
204221,Other,Other,Other,Other-204221,Other
205178,Other,Other,Other,Other-205178,Other
205356,Other,Other,Other,Other-205356,Other
204648,Other,Other,Other,Other-204648,Other
205127,Other,Other,Other,Other-205127,Other
204068,Other,Other,Other,Other-204068,Other
205715,Other,Other,Other,Other-205715,Other
204157,Other,Other,Other,Other-204157,Other
204681,Other,Other,Other,Other-204681,Other
205140,Other,Other,Other,Other-205140,Other
204817,Other,Other,Other,Other-204817,Other
205148,Other,Other,Other,Other-205148,Other
205152,Other,Other,Other,Other-205152,Other
205155,Other,Other,Other,Other-205155,Other
205156,Other,Other,Other,Other-205156,Other
205157,Other,Other,Other,Other-205157,Other
204258,Other,Other,Other,Other-204258,Other
205158,Other,Other,Other,Other-205158,Other
205159,Other,Other,Other,Other-205159,Other
205167,Other,Other,Other,Other-205167,Other
205096,Other,Other,Other,Other-205096,Other
205103,Other,Other,Other,Other-205103,Other
205354,Other,Other,Other,Other-205354,Other
205580,Other,Other,Other,Other-205580,Other
205531,Other,Other,Other,Other-205531,Other
204103,Other,Other,Other,Other-204103,Other
