VendorID,Vendor City,Vendor State,Vendor Postal Code,Vendor Country/Region,Total Spend,Tier,Vendor Name
1210,Denver,CO,80237,US,"$1,384,941 ",1,daltholdings Incorporated
837,Columbus,OH,43240,US,"$1,339,142 ",1,Whitetraxla Corporation
139,Unknown,IL,Unknown,US,"$1,339,111 ",1,Gogolex LLC
704,Unknown,NC,27103,US,"$1,299,047 ",1,Scotnix Incorporated
403,Unknown,WI,54220,US,"$1,227,837 ",1,Graveelectronics Inc.
1848,Unknown,FL,33175,US,"$1,206,515 ",1,Trustholdings Incorporated
414,Ensenada,Unknown,Unknown,MX,"$1,206,102 ",1,Zamit Inc.
561,Unknown,IL,60601,US,"$1,195,407 ",1,Zootechnology Inc.
335,Unknown,IL,60673,US,"$1,180,016 ",1,Tamandox LLC
866,Unknown,MN,55403,US,"$1,150,952 ",1,Opegreen LLC
950,New York city,NY,10017,US,"$1,150,000 ",1,Triofase Inc.
157,Unknown,IN,46224,US,"$1,115,454 ",1,Isstrip LLC
474,San Jose,CA,95110,US,"$1,113,607 ",1,ontodox Corporation
38,Unknown,Unknown,Unknown,MX,"$1,098,792 ",1,Konkfind Incorporated
22,Unknown,IN,46061,US,"$1,091,033 ",1,blackcorporation Incorporated
511,Torreon,Unknown,27019,MX,"$1,089,764 ",1,Citytam Inc.
11,Englewood,CO,80112,US,"$1,081,260 ",1,Linezone Corporation
202,Ensenada,Unknown,Unknown,MX,"$1,078,937 ",1,Techitechno Corporation
12,Northbrook,IL,Unknown,US,"$1,069,033 ",1,Ontosaotom Incorporated
874,Unknown,Unknown,22610,MX,"$1,064,966 ",1,Geo-holdings Inc.
953,Trevose,PA,19053,US,"$1,060,891 ",1,Rancom Inc.
99,Unknown,Unknown,Unknown,MX,"$1,032,638 ",1,Technocore Inc.
13,Unknown,Unknown,22320,MX,"$1,030,224 ",1,zoomplex Inc.
171,Unknown,CA,90249,US,"$1,021,336 ",1,doubleline Inc.
177,Unknown,Unknown,Unknown,MX,"$1,014,665 ",1,Hatstrip Inc.
7,Unknown,TX,76155,US,"$988,302 ",1,Sailfan Inc.
428,Hanover,MD,21076,US,"$975,761 ",1,Goldenplex Incorporated
34,Bloomingdale,IL,Unknown,US,"$968,578 ",1,Saltnimdom Incorporated
250,Unknown,Unknown,22320,MX,"$956,256 ",1,lexi-holding Corporation
49,Unknown,WI,53212,US,"$954,413 ",1,Damcane Inc.
90,Unknown,Unknown,55390,MX,"$949,540 ",1,geotech Incorporated
208,Ensenada,Unknown,Unknown,MX,"$937,392 ",1,Saltstrip Inc.
2913,Unknown,Unknown,,TW,"$934,221 ",1,Dingzoom LLC
50,Unknown,Unknown,Unknown,MX,"$926,430 ",1,Techlane LLC
501,Mexico,Unknown,Unknown,MX,"$921,589 ",1,round-high Inc.
260,Ensenada,Unknown,Unknown,MX,"$907,914 ",1,Alphaplanet Inc.
2514,Mooresville,IN,46158,US,"$863,311 ",1,White-holding LLC
1005,Chico,CA,95973,US,"$846,996 ",1,Quotelane LLC
2448,Unknown,NC,28255,US,"$819,206 ",1,J-ozestrip Incorporated
1186,Mexico,Unknown,Unknown,MX,"$791,459 ",1,caneplex Incorporated
236,Belmont,NC,28012,US,"$788,495 ",1,Trantechnology Corporation
834,Unknown,Unknown,22430,MX,"$779,863 ",1,zondexon Corporation
59,Unknown,Unknown,Unknown,MX,"$770,557 ",1,Haylux Incorporated
215,Woodbury,MN,Unknown,US,"$767,083 ",1,Doncan Incorporated
991,Ensenada,Unknown,Unknown,MX,"$761,988 ",1,Conebase Incorporated
358,Cordova,TN,38018,US,"$757,398 ",1,Sanfinron LLC
2876,Unknown,IL,60605,US,"$750,024 ",1,Zimtaxon Incorporated
390,Unknown,IL,60601,US,"$750,000 ",1,Stathouse Incorporated
400,Ensenada,Unknown,,MX,"$748,616 ",1,Hexnamtam LLC
52,Unknown,Unknown,2140,MX,"$745,048 ",1,Matbam Incorporated
195,Unknown,CA,92806,US,"$736,078 ",1,Villaplex Inc.
522,Unknown,CA,90706,US,"$733,708 ",1,Duolex Inc.
222,Unknown,NC,28202,US,"$720,351 ",1,Donjaylax Corporation
534,Collegeville,PA,19426,US,"$717,391 ",1,Yearlex LLC
112,Bristol,CT,Unknown,US,"$716,889 ",1,Aptom Inc.
533,Unknown,Unknown,28206,IN,"$714,610 ",1,Physplex Corporation
1202,Morristown,NJ,Unknown,US,"$702,860 ",1,Silverhigh Incorporated
89,Princeton,IL,61356,US,"$692,765 ",1,Donglux Incorporated
123,Unknown,Unknown,Unknown,CN,"$676,840 ",1,Damdox Inc.
71,Unknown,Unknown,,MX,"$668,699 ",1,Duofax Incorporated
218,Unknown,Unknown,Unknown,MX,"$662,747 ",1,Trustcore Inc.
187,Unknown,Unknown,Unknown,DE,"$661,442 ",1,Silsilcare Inc.
238,Unknown,Unknown,Unknown,MX,"$651,621 ",1,Plustechno Inc.
79,Unknown,NJ,Unknown,US,"$651,046 ",1,J-zimquote Corporation
871,Unknown,CA,92110,US,"$650,758 ",1,Zathhigh Corporation
2270,Bowling Green,KY,42104,US,"$650,601 ",1,Movecone Incorporated
312,Unknown,CO,Unknown,US,"$647,351 ",1,sanhex Incorporated
435,Unknown,IN,46202,US,"$636,656 ",1,Lanehex Corporation
645,Winchester,VA,22602,US,"$633,521 ",1,Solis Incorporated
1990,Unknown,MN,56501,US,"$613,318 ",1,Blacktaxon Incorporated
1004,Austin,TX,78759,US,"$610,142 ",1,Tripplecare LLC
60,Unknown,IL,60177,US,"$607,043 ",1,Warezoom Inc.
1530,Unknown,WA,98119,US,"$605,636 ",1,Kaynamflex LLC
401,Bloomfield,MI,48323,US,"$604,309 ",1,U-zap Corporation
305,Windsor,CO,Unknown,US,"$600,248 ",1,Truecode Corporation
149,Unknown,IL,60060,US,"$599,289 ",1,Rontaxon Corporation
1829,Carlsbad,CA,92011,US,"$595,412 ",1,hexlux Corporation
565,Unknown,NC,Unknown,US,"$594,600 ",1,gold-city Inc.
137,Unknown,IL,Unknown,US,"$591,590 ",1,Canegeoin LLC
40,Unknown,Unknown,22223,MX,"$576,960 ",1,superzim LLC
3,Danville,AR,Unknown,US,"$575,333 ",1,Zontouch Inc.
216,Unknown,IN,Unknown,US,"$568,148 ",1,duo-techi Corporation
577,Duluth,GA,30097,US,"$555,231 ",1,joyity LLC
1968,Unknown,IN,46268,US,"$554,559 ",1,tough-street Incorporated
385,Unknown,IL,Unknown,US,"$549,625 ",1,Translane Corporation
572,Mexico,Unknown,1040,MX,"$536,668 ",1,tinplanet Corporation
1203,Unknown,Unknown,Unknown,SE,"$530,988 ",1,Bluelamfix LLC
464,Unknown,Unknown,Unknown,CN,"$529,666 ",1,Runbase Corporation
1091,Unknown,IN,46628,US,"$523,709 ",1,Scotplex Incorporated
282,Unknown,Unknown,2140,MX,"$522,270 ",1,Graveace Inc.
848,Unknown,Unknown,2140,MX,"$521,522 ",1,Ventophase Inc.
113,Unknown,Unknown,2190,MX,"$521,377 ",1,Zunfind Inc.
309,Unknown,Unknown,,MX,"$518,620 ",1,Domsailplus LLC
1493,Unknown,IN,46033,US,"$518,109 ",1,Zum-technology LLC
178,Unknown,Unknown,22509,MX,"$517,569 ",1,U-green Corporation
94,Unknown,Unknown,Unknown,MX,"$516,288 ",1,Howstreet Inc.
251,Unknown,Unknown,2140,MX,"$514,878 ",1,Trippletouch LLC
184,Unknown,GA,30127,US,"$514,001 ",1,movenix Corporation
231,Unknown,Unknown,22660,MX,"$486,902 ",1,Groovekix Incorporated
316,Little Rock,AR,Unknown,US,"$485,000 ",1,Saltis Corporation
151,Unknown,IN,47130,US,"$483,731 ",1,Zoostreet Incorporated
98,Unknown,CO,80921,US,"$479,881 ",1,Inditam LLC
1628,Unknown,AZ,Unknown,US,"$475,000 ",1,Duohow Corporation
74,Unknown,Unknown,22570,MX,"$467,747 ",1,Mathgreen Inc.
18,Unknown,MI,Unknown,US,"$459,661 ",1,Graveway LLC
1484,Holland,MI,49424,US,"$454,827 ",1,Hotozezim Inc.
1156,Unknown,VA,Unknown,US,"$453,632 ",1,Planetholding LLC
928,Brunswick,NJ,Unknown,US,"$451,672 ",1,Trancore LLC
2431,Santa Anna,CA,92705,US,"$448,229 ",1,zoo-fix LLC
1180,Unknown,NY,11365,US,"$446,251 ",1,Konplanet Incorporated
2378,Greenwich,CT,Unknown,US,"$444,245 ",1,Warecorporation Corporation
315,Richmond,VA,Unknown,US,"$438,999 ",1,Treemedfix Corporation
132,Ensenada,Unknown,,MX,"$431,265 ",1,Volfind LLC
118,St. Paul,MN,55107,US,"$430,854 ",1,Tontechno Inc.
128,Unknown,IN,46268,US,"$427,883 ",1,Stanphase LLC
878,Unknown,Unknown,21210,MX,"$424,540 ",1,Sumcane LLC
227,Unknown,Unknown,21280,MX,"$423,908 ",1,Tampfase Inc.
456,Unknown,IL,60606,US,"$423,901 ",1,Drillfase Corporation
1165,Unknown,Unknown,Unknown,MX,"$421,607 ",1,Ontobase Corporation
303,Unknown,GA,Unknown,US,"$419,991 ",1,Dingstreet Inc.
1688,Deerfield,IL,60015,US,"$413,209 ",1,D-fase Corporation
255,Unknown,NC,28244,US,"$409,661 ",1,ventoflex Incorporated
200,Unknown,IN,46202,US,"$403,247 ",1,Plextom Incorporated
379,Unknown,Unknown,2140,MX,"$402,218 ",1,Indigocode Corporation
64,Unknown,IN,46201,US,"$401,373 ",1,duocity LLC
277,Ensenada,Unknown,2860,MX,"$391,462 ",1,Itlax LLC
114,Unknown,Unknown,22660,MX,"$390,739 ",1,Techplex Corporation
167,,Unknown,,US,"$388,186 ",1,highholding Incorporated
297,Unknown,MI,49117,US,"$386,559 ",1,Drillgeoex Incorporated
17,Zion,IL,60099,US,"$383,888 ",1,Inway Incorporated
398,Unknown,TX,75201,US,"$383,141 ",1,Betaquote Incorporated
1090,New Haven,CT,Unknown,US,"$376,898 ",1,Newcore Inc.
4,Unknown,IL,Unknown,US,"$372,283 ",1,white-tex LLC
2861,Unknown,WI,53188,US,"$371,507 ",2,Zap-plex LLC
2932,Unknown,NE,Unknown,US,"$371,129 ",2,Quadcane LLC
1118,Portland,OR,97232,US,"$367,866 ",2,X-rontone Inc.
1535,Newark,CA,94560,US,"$366,305 ",2,Unogeodex Inc.
189,Ensenada,Unknown,Unknown,MX,"$366,186 ",2,Roundcone LLC
271,Princeton,IL,61356,US,"$365,458 ",2,Codetechnology Corporation
1116,Unknown,OH,45202,US,"$365,357 ",2,Quounilane Inc.
143,Unknown,Unknown,Unknown,MX,"$363,177 ",2,kantax Corporation
488,Unknown,IN,46202,US,"$361,525 ",2,Doubleplex Inc.
1680,New York city,NY,10036,US,"$354,962 ",2,Mediaplus Corporation
1108,Granger,IN,46530,US,"$350,844 ",2,Drillline LLC
391,Mountain View,CA,94040,US,"$343,624 ",2,tanstreet Corporation
472,Unknown,Unknown,Unknown,MX,"$343,552 ",2,J-line Incorporated
80,Orange,CA,92868,US,"$339,309 ",2,it-texon Corporation
1890,Unknown,PA,19106,US,"$339,265 ",2,Kanhex Inc.
807,Unknown,PA,19540,US,"$335,055 ",2,stronging Inc.
570,Unknown,MN,55343,US,"$332,434 ",2,Toughcity Incorporated
2145,Unknown,IL,60188,US,"$331,744 ",2,Indicity LLC
476,Bangor,ME,Unknown,US,"$328,448 ",2,Mathtandox Corporation
1106,New York city,NY,10022,US,"$326,959 ",2,Flexin Incorporated
217,Ensenada,Unknown,2780,MX,"$325,473 ",2,Kanunoplus Corporation
1982,Unknown,IL,60693,US,"$325,041 ",2,Viacode Corporation
523,Fayetteville,AR,72701,US,"$320,112 ",2,Voyatex Corporation
1822,Brighton,MI,48114,US,"$319,548 ",2,Haycon Corporation
190,Unknown,Unknown,2140,MX,"$319,087 ",2,Rongreen LLC
851,Unknown,Unknown,22430,MX,"$311,580 ",2,Sail-dox Incorporated
2491,Unknown,Unknown,Unknown,IN,"$311,537 ",2,Qvocom Corporation
1102,Unknown,IL,60693,US,"$311,024 ",2,Conezunlex LLC
399,Unknown,MN,55344,US,"$310,699 ",2,Techiity LLC
437,Unknown,Unknown,Unknown,DK,"$310,279 ",2,Zoommedia Incorporated
920,Denver,CO,80239,US,"$307,675 ",2,zimfase Incorporated
258,Unknown,IL,60661,US,"$307,425 ",2,Matcone Inc.
3003,Unknown,IL,60139,US,"$306,678 ",2,Vivalane Inc.
1347,Unknown,NC,28226,US,"$306,216 ",2,Sonranfind Incorporated
2210,Unknown,MO,63026,US,"$305,024 ",2,Funstrip LLC
83,Unknown,CA,92154,US,"$300,396 ",2,x-taxon Inc.
543,Unknown,Unknown,Unknown,MX,"$299,004 ",2,E-ex LLC
1936,New York city,NY,10281,US,"$296,947 ",2,Hexzoom Incorporated
199,Unknown,Unknown,22206,MX,"$294,307 ",2,silcore LLC
16,Unknown,CO,Unknown,US,"$282,707 ",2,Kayhouse Incorporated
612,Ensenada,CA,Unknown,MX,"$280,106 ",2,Techcode LLC
336,Unknown,CA,92886,US,"$279,560 ",2,Jaynimace Corporation
287,Unknown,Unknown,Unknown,MX,"$275,087 ",2,kanflex Corporation
495,Ensenada,Unknown,Unknown,MX,"$273,494 ",2,D-lux Incorporated
431,Unknown,MI,48734,US,"$273,366 ",2,Spanzap LLC
1183,San Rafael,CA,94903,US,"$272,758 ",2,Spanphase Corporation
160,Unknown,NC,27804,US,"$272,103 ",2,Kaydox Inc.
2460,Unknown,CO,80901,US,"$271,713 ",2,Hatzap Incorporated
120,La Porte,IN,46350,US,"$268,950 ",2,Waretrax LLC
276,St. Paul,MN,55120,US,"$265,806 ",2,Codecity LLC
641,Unknown,PA,19522,US,"$264,832 ",2,Greenelectrics LLC
2984,Unknown,VA,23453,US,"$264,300 ",2,Kon-zoom LLC
573,Unknown,MA,Unknown,US,"$263,442 ",2,overcorporation LLC
219,Unknown,CA,92614,US,"$262,308 ",2,Faxholdings LLC
273,Unknown,IL,60060,US,"$260,297 ",2,Siliconlex LLC
108,Unknown,IN,46032,US,"$259,871 ",2,tin-job Corporation
552,Unknown,Unknown,,TW,"$258,919 ",2,Zertechno Corporation
148,Mexico,Unknown,11560,MX,"$257,011 ",2,zumcone Incorporated
185,Cleveland,OH,44145,US,"$256,955 ",2,Iceity Inc.
898,Unknown,NC,28036,US,"$256,091 ",2,Vila-bam Corporation
457,Unknown,CO,80907,US,"$255,095 ",2,funit Inc.
1270,Unknown,KY,40056,US,"$254,465 ",2,Hotlam Inc.
2168,Unknown,IL,60601,US,"$253,882 ",2,Gogohatit Incorporated
2496,Washington,DC,20006,US,"$253,271 ",2,Blackcore Inc.
1768,Montvale,NJ,Unknown,US,"$251,530 ",2,Fasetrans Corporation
127,Unknown,WA,98661,US,"$251,005 ",2,Daming Inc.
2273,Unknown,IN,46202,US,"$250,293 ",2,Redelectrics Incorporated
1155,Ensenada,Unknown,Unknown,US,"$249,424 ",2,Kanlux Incorporated
627,Unknown,TX,77041,US,"$249,342 ",2,Konkware Incorporated
1237,Unknown,IN,46060,US,"$246,307 ",2,tonbase Incorporated
289,San Ysidro,CA,Unknown,US,"$246,088 ",2,X-zim LLC
1781,Providence,UT,84332,US,"$244,561 ",2,Tanzoom LLC
2038,Reston,VA,20191,US,"$241,007 ",2,E-remline LLC
1144,Sacramento,CA,Unknown,US,"$237,157 ",2,finbase Corporation
288,Brunswick,NJ,Unknown,US,"$235,513 ",2,stripplex Inc.
102,Unknown,WA,98011,US,"$235,076 ",2,Overtech Corporation
117,Unknown,CA,92870,US,"$230,831 ",2,greentechnology LLC
502,Unknown,Unknown,2140,MX,"$230,652 ",2,Tinsanlane Inc.
1000,Ensenada,Unknown,Unknown,MX,"$229,864 ",2,Tamstreet Inc.
85,Denver,CO,80222,US,"$229,823 ",2,Xx-dox Corporation
2938,Unknown,IL,60045,US,"$227,182 ",2,Zamcare Incorporated
1055,Unknown,Unknown,Unknown,MX,"$226,361 ",2,Suntouch Corporation
654,Jacksonville,FL,32256,US,"$226,215 ",2,U-ice LLC
647,Unknown,Unknown,Unknown,MX,"$225,563 ",2,Funcorporation Corporation
1314,Unknown,IN,46032,US,"$219,925 ",2,Fasecan LLC
2060,Unknown,OH,43035,US,"$219,680 ",2,codeace Inc.
482,Albany,NY,12205,US,"$219,653 ",2,Tancom LLC
492,Unknown,Unknown,,MX,"$218,013 ",2,Lanezim LLC
2929,Unknown,IL,Unknown,US,"$217,794 ",2,Bioware Corporation
369,Unknown,SC,29575,US,"$217,720 ",2,Technoing Corporation
817,Unknown,MI,48304,US,"$216,025 ",2,Ontozoomit Incorporated
1474,Greensboro,NC,27401,US,"$215,909 ",2,Una-tech Inc.
1050,Unknown,IL,60673,US,"$215,598 ",2,Fixhow Corporation
463,Unknown,Unknown,Unknown,CN,"$214,108 ",2,geotouch Inc.
876,Garden Grove,CA,92841,US,"$213,983 ",2,Newtechi Corporation
1310,Unknown,WA,99216,US,"$212,701 ",2,qvojob Incorporated
2937,London,Unknown,Unknown,GB,"$211,841 ",2,Stancom Corporation
310,Unknown,CO,80525,US,"$211,256 ",2,Lotjoware Corporation
1303,Thornton,CO,80602,US,"$210,683 ",2,Isancore LLC
168,Ensenada,Unknown,Unknown,MX,"$209,235 ",2,Goldstrip Inc.
914,Jasper,IN,Unknown,US,"$207,105 ",2,Zummaice Corporation
1720,Wilmington,DE,19808,US,"$206,859 ",2,Inchdex Inc.
192,Unknown,CA,92879,US,"$206,463 ",2,Hownimcode LLC
1003,Unknown,TX,75206,US,"$205,034 ",2,Newflex Corporation
55,Unknown,IN,Unknown,US,"$204,957 ",2,Trisdom LLC
389,Unknown,GA,30024,US,"$204,480 ",2,Singlelex Inc.
829,Plano,TX,75024,US,"$204,295 ",2,Zapmedia Corporation
1077,Unknown,TX,77055,US,"$203,696 ",2,Overcorporation Incorporated
432,Unknown,CT,Unknown,US,"$202,807 ",2,Son-lex Corporation
919,Los Altos,CA,94022,US,"$202,799 ",2,Unatech LLC
1323,Unknown,MD,20770,US,"$202,454 ",2,Freshholding Corporation
1847,Unknown,IN,46250,US,"$202,452 ",2,Qvodomway LLC
181,Unknown,Unknown,Unknown,SG,"$201,648 ",2,Concore LLC
88,Troy,MI,48084,US,"$201,132 ",2,Lexi-tax LLC
138,Unknown,CO,80911,US,"$199,790 ",2,Zenit LLC
386,Ensenada,Unknown,Unknown,MX,"$198,586 ",2,ton-kix LLC
142,Mexico,Unknown,Unknown,MX,"$197,287 ",2,Hotbase LLC
1250,Winfield,PA,17889,US,"$194,459 ",2,Vilacone LLC
1002,Ensenada,Unknown,22810,MX,"$194,398 ",2,Xx--flex LLC
1182,New York city,NY,Unknown,US,"$193,000 ",2,Zoolane Corporation
810,Unknown,AL,36526,US,"$192,362 ",2,Lotozeex Inc.
186,Unknown,AZ,85028,US,"$191,222 ",2,Dentocorporation Incorporated
439,Unknown,IL,60101,US,"$191,073 ",2,Trustfind Corporation
646,Jasper,IN,47549,US,"$190,175 ",2,hex-fax LLC
241,Unknown,OH,45040,US,"$189,883 ",2,Labdox Incorporated
111,Unknown,Unknown,6450,MX,"$188,991 ",2,Canetripfix Incorporated
2276,Unknown,PA,15222,US,"$188,500 ",2,Fixbiotech Corporation
478,Unknown,Unknown,Unknown,MX,"$188,101 ",2,Cityquote Inc.
1422,Unknown,CA,94583,US,"$185,169 ",2,Fincity LLC
955,Unknown,Unknown,Unknown,TW,"$184,483 ",2,Ventofax LLC
1135,Unknown,IL,60101,US,"$184,439 ",2,Tripplelex Corporation
158,Unknown,WA,Unknown,US,"$184,260 ",2,Trippledax Corporation
242,Unknown,NC,28036,US,"$183,200 ",2,indigostrip Inc.
933,Unknown,CA,91361,US,"$183,101 ",2,Doubleit Inc.
299,Unknown,CA,90670,US,"$179,473 ",2,Carefase Incorporated
91,Unknown,Unknown,Unknown,MX,"$178,886 ",2,Whitecode Incorporated
591,Warren,MI,Unknown,US,"$178,752 ",2,Lam-high Inc.
1790,Unknown,IN,46240,US,"$178,486 ",2,dinghigh Inc.
1015,Ensenada,Unknown,Unknown,MX,"$177,917 ",2,Med-tex Corporation
214,Unknown,CA,Unknown,US,"$177,253 ",2,Sollax Incorporated
329,Deer Park,NY,11729,US,"$174,727 ",2,E-fax LLC
381,Forestville,CT,Unknown,US,"$174,679 ",2,Betatexon LLC
594,Unknown,Unknown,Unknown,CN,"$173,255 ",2,jobtexon LLC
1726,Unknown,WA,Unknown,US,"$172,465 ",2,Hotlottam LLC
182,Farmington,CT,Unknown,US,"$171,509 ",2,Spantom Incorporated
525,Greenwich,RI,Unknown,US,"$170,780 ",2,Scottom Inc.
86,Unknown,PA,19063,US,"$168,924 ",2,Canejob Inc.
1713,Peru,IL,61354,US,"$168,829 ",2,Zencity Inc.
2103,Unknown,MD,Unknown,US,"$168,405 ",2,Opequote LLC
1469,Ensenada,Unknown,Unknown,MX,"$167,987 ",2,Flextax Incorporated
927,Unknown,CA,94103,US,"$167,652 ",2,Zimfan Incorporated
944,Corvallis,OR,97330,US,"$167,126 ",2,Blueis LLC
520,Melville,NY,11747,US,"$167,040 ",2,Inholdings LLC
3035,Richmond,Unknown,,US,"$166,941 ",2,Nam-care LLC
531,Ensenada,Unknown,Unknown,MX,"$166,217 ",2,Sailcorporation LLC
267,Los Angeles,CA,90001,US,"$165,804 ",2,blackdom Incorporated
213,Unknown,WA,99216,US,"$164,077 ",2,Silquote Inc.
1238,Boulder,CO,Unknown,US,"$163,048 ",2,Stripcorporation Incorporated
2476,Woodstock,GA,30189,US,"$162,962 ",2,Trantexon LLC
404,Unknown,Unknown,76903,MX,"$162,476 ",2,truejob Corporation
349,Unknown,Unknown,22240,MX,"$161,635 ",2,d-tech Incorporated
932,Unknown,NC,28036,US,"$161,146 ",2,Inzoom LLC
